CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2,2022 Q1,2022-03-31,Pizzeria,17978.20824,20245.7625,10289.29,10289.2925,80983.05,90,41157.17,115,7688.918239999999,9956.47,2069331.13,Small
2,2022 Q2,2022-06-30,Pizzeria,21323.24714,24481.3125,11441.45,11441.38,97925.25,91,45765.52,107,9881.797139999999,13039.9325,2069331.13,Small
2,2022 Q3,2022-09-30,Pizzeria,27084.0746,31493.03,13483.39,13483.3925,125972.12,92,53933.57,107,13600.6846,18009.637499999997,2069331.13,Small
2,2022 Q4,2022-12-31,Pizzeria,34833.30326,38789.855,15716.55,15716.5525,155159.42,92,62866.21,107,19116.75326,23073.302500000005,2069331.13,Small
2,2023 Q1,2023-03-31,Pizzeria,25323.96693,29344.1975,12898.67,12898.66,117376.79,90,51594.64,107,12425.296929999999,16445.5375,2069331.13,Small
2,2023 Q2,2023-06-30,Pizzeria,16455.30642,18656.75,9375.31,9375.28,74627.0,91,37501.12,107,7079.996420000001,9281.47,2069331.13,Small
2,2023 Q3,2023-09-30,Pizzeria,16734.9807,19235.625,9557.5,9557.51,76942.5,92,38230.04,107,7177.4807,9678.115,2069331.13,Small
2,2023 Q4,2023-12-31,Pizzeria,29277.48588,33307.7375,14033.05,14033.06,133230.95,92,56132.24,107,15244.43588,19274.677500000005,2069331.13,Small
2,2024 Q1,2024-03-31,Pizzeria,35655.2424,40152.3625,16401.17,16401.15,160609.45,91,65604.6,107,19254.072400000005,23751.2125,2069331.13,Small
2,2024 Q2,2024-06-30,Pizzeria,27590.526719999998,31933.465,13738.55,13738.495,127733.86,91,54953.98,107,13851.976719999999,18194.97,2069331.13,Small
2,2024 Q3,2024-09-30,Pizzeria,19147.598140000002,22034.06,10386.95,10386.9575,88136.24,92,41547.83,109,8760.648140000001,11647.1025,2069331.13,Small
2,2024 Q4,2024-12-31,Pizzeria,19122.55608,21534.355,10860.87,10860.86,86137.42,92,43443.44,115,8261.686079999998,10673.495,2069331.13,Small
2,2025 Q1,2025-03-31,Pizzeria,23211.85125,26527.7625,11413.95,11413.9175,106111.05,90,45655.67,99,11797.901249999999,15113.845,2069331.13,Small
275,2022 Q1,2022-03-31,Distributors,407040.83,407040.625,273589.63,273589.6375,1628162.5,2192,1094358.55,154,133451.2,133450.9875,36997617.9,Medium
275,2022 Q2,2022-06-30,Distributors,367157.33,367157.23,242496.01,242496.035,1468628.92,2034,969984.14,143,124661.32,124661.19499999998,36997617.9,Medium
275,2022 Q3,2022-09-30,Distributors,353573.02,353573.0175,230421.07,230421.03,1414292.07,2034,921684.12,143,123151.95,123151.98750000002,36997617.9,Medium
275,2022 Q4,2022-12-31,Distributors,433974.76,433974.6425,287279.11,287279.2,1735898.57,2034,1149116.8,143,146695.65000000002,146695.4425,36997617.9,Medium
275,2023 Q1,2023-03-31,Distributors,445716.57,445716.565,300906.13,300906.1225,1782866.26,2034,1203624.49,145,144810.44,144810.4425,36997617.9,Medium
275,2023 Q2,2023-06-30,Distributors,401974.83,401974.6675,264267.1,264267.0675,1607898.67,2034,1057068.27,143,137707.73000000004,137707.59999999998,36997617.9,Medium
275,2023 Q3,2023-09-30,Distributors,378712.52,378712.625,244912.9,244912.9875,1514850.5,2036,979651.95,145,133799.62000000002,133799.6375,36997617.9,Medium
275,2023 Q4,2023-12-31,Distributors,473048.9,473048.8425,311783.67,311783.675,1892195.37,2034,1247134.7,143,161265.23000000004,161265.16749999998,36997617.9,Medium
275,2024 Q1,2024-03-31,Distributors,486166.46,486166.355,328335.26,328335.3075,1944665.42,2034,1313341.23,143,157831.2,157831.0475,36997617.9,Medium
275,2024 Q2,2024-06-30,Distributors,429971.51,429971.5925,280744.76,280744.8,1719886.37,2034,1122979.2,143,149226.75,149226.79250000004,36997617.9,Medium
275,2024 Q3,2024-09-30,Distributors,409293.68,409293.85,261408.3,261408.2675,1637175.4,2032,1045633.07,143,147885.38,147885.5825,36997617.9,Medium
275,2024 Q4,2024-12-31,Distributors,527599.18,527599.125,343496.66,343496.685,2110396.5,2192,1373986.74,154,184102.52000000008,184102.44,36997617.9,Medium
275,2025 Q1,2025-03-31,Distributors,459289.82,459289.8475,306244.69,306244.675,1837159.39,1876,1224978.7,132,153045.13,153045.1725,36997617.9,Medium
287,2022 Q1,2022-03-31,Distributors,292799.75169,297863.3575,213788.23,213788.235,1191453.43,980,855152.94,154,79011.52169,84075.1225,27266763.83,Small
287,2022 Q2,2022-06-30,Distributors,245954.90635,250208.475,179111.46,179111.48500000002,1000833.9,910,716445.9400000001,143,66843.44635000001,71096.98999999999,27266763.83,Small
287,2022 Q3,2022-09-30,Distributors,231645.92972,234934.905,167850.86,167850.8725,939739.62,910,671403.49,143,63795.06972,67084.0325,27266763.83,Small
287,2022 Q4,2022-12-31,Distributors,316739.82816,320911.6425,229902.69,229902.6425,1283646.57,910,919610.57,143,86837.13815999997,91009.0,27266763.83,Small
287,2023 Q1,2023-03-31,Distributors,309925.79730000003,314007.9,225036.3,225036.24,1256031.6,910,900144.96,143,84889.49730000005,88971.66000000003,27266763.83,Small
287,2023 Q2,2023-06-30,Distributors,260005.55447000003,264502.095,189078.36,189078.3975,1058008.38,910,756313.59,143,70927.19447000005,75423.69749999998,27266763.83,Small
287,2023 Q3,2023-09-30,Distributors,266513.77064,269750.8675,192638.71,192638.685,1079003.47,910,770554.74,143,73875.06064000001,77112.1825,27266763.83,Small
287,2023 Q4,2023-12-31,Distributors,346651.15,346651.1575,248330.55,248330.5875,1386604.63,910,993322.35,143,98320.60000000003,98320.56999999998,27266763.83,Small
287,2024 Q1,2024-03-31,Distributors,337426.82124,343262.305,245769.61,245769.645,1373049.22,910,983078.58,143,91657.21124000003,97492.66,27266763.83,Small
287,2024 Q2,2024-06-30,Distributors,299259.025,302893.6025,216030.13,216030.125,1211574.41,910,864120.5,143,83228.89500000002,86863.47749999998,27266763.83,Small
287,2024 Q3,2024-09-30,Distributors,283813.0044,288427.86,205622.64,205622.605,1153711.44,912,822490.42,145,78190.36439999996,82805.25499999998,27266763.83,Small
